sample_id,session_id,timestamp,label,h1_lm0_x,h1_lm0_y,h1_lm0_z,h1_lm1_x,h1_lm1_y,h1_lm1_z,h1_lm2_x,h1_lm2_y,h1_lm2_z,h1_lm3_x,h1_lm3_y,h1_lm3_z,h1_lm4_x,h1_lm4_y,h1_lm4_z,h1_lm5_x,h1_lm5_y,h1_lm5_z,h1_lm6_x,h1_lm6_y,h1_lm6_z,h1_lm7_x,h1_lm7_y,h1_lm7_z,h1_lm8_x,h1_lm8_y,h1_lm8_z,h1_lm9_x,h1_lm9_y,h1_lm9_z,h1_lm10_x,h1_lm10_y,h1_lm10_z,h1_lm11_x,h1_lm11_y,h1_lm11_z,h1_lm12_x,h1_lm12_y,h1_lm12_z,h1_lm13_x,h1_lm13_y,h1_lm13_z,h1_lm14_x,h1_lm14_y,h1_lm14_z,h1_lm15_x,h1_lm15_y,h1_lm15_z,h1_lm16_x,h1_lm16_y,h1_lm16_z,h1_lm17_x,h1_lm17_y,h1_lm17_z,h1_lm18_x,h1_lm18_y,h1_lm18_z,h1_lm19_x,h1_lm19_y,h1_lm19_z,h1_lm20_x,h1_lm20_y,h1_lm20_z,h1_handedness,h1_confidence,h1_scale,h1_detected,h2_lm0_x,h2_lm0_y,h2_lm0_z,h2_lm1_x,h2_lm1_y,h2_lm1_z,h2_lm2_x,h2_lm2_y,h2_lm2_z,h2_lm3_x,h2_lm3_y,h2_lm3_z,h2_lm4_x,h2_lm4_y,h2_lm4_z,h2_lm5_x,h2_lm5_y,h2_lm5_z,h2_lm6_x,h2_lm6_y,h2_lm6_z,h2_lm7_x,h2_lm7_y,h2_lm7_z,h2_lm8_x,h2_lm8_y,h2_lm8_z,h2_lm9_x,h2_lm9_y,h2_lm9_z,h2_lm10_x,h2_lm10_y,h2_lm10_z,h2_lm11_x,h2_lm11_y,h2_lm11_z,h2_lm12_x,h2_lm12_y,h2_lm12_z,h2_lm13_x,h2_lm13_y,h2_lm13_z,h2_lm14_x,h2_lm14_y,h2_lm14_z,h2_lm15_x,h2_lm15_y,h2_lm15_z,h2_lm16_x,h2_lm16_y,h2_lm16_z,h2_lm17_x,h2_lm17_y,h2_lm17_z,h2_lm18_x,h2_lm18_y,h2_lm18_z,h2_lm19_x,h2_lm19_y,h2_lm19_z,h2_lm20_x,h2_lm20_y,h2_lm20_z,h2_handedness,h2_confidence,h2_scale,h2_detected
20260118_163218_000000,20260118_163218,2026-01-18T16:32:40.952366,triangle,0.0,0.0,0.0,0.43651413917541504,0.019018052145838737,-0.03726424649357796,0.7972412705421448,-0.14035524427890778,-0.0783456489443779,1.0327624082565308,-0.2773049771785736,-0.14176170527935028,1.2347965240478516,-0.2959977388381958,-0.19877421855926514,0.857968270778656,-0.6145206689834595,-0.029034828767180443,1.0655839443206787,-0.8689488172531128,-0.12976756691932678,1.2041243314743042,-0.9921243190765381,-0.20754164457321167,1.3350297212600708,-1.1034271717071533,-0.270488440990448,0.6929112076759338,-0.715530514717102,-0.08882684260606766,0.9233357906341553,-0.5741025805473328,-0.23585276305675507,0.8059366941452026,-0.36444395780563354,-0.2820258140563965,0.7003615498542786,-0.3113154172897339,-0.29815661907196045,0.5048641562461853,-0.732087254524231,-0.1594253033399582,0.7243788838386536,-0.5164249539375305,-0.3136640191078186,0.6192437410354614,-0.338855504989624,-0.28757908940315247,0.5201171636581421,-0.31962040066719055,-0.24638569355010986,0.3064723014831543,-0.7037733793258667,-0.23517188429832458,0.49150311946868896,-0.48228803277015686,-0.3304620385169983,0.44909369945526123,-0.3291264474391937,-0.29585012793540955,0.3866746425628662,-0.31449392437934875,-0.2561769187450409,Right,0.989907443523407,276.95532,1,0.0,0.0,0.0,-0.33213308453559875,-0.08320966362953186,-0.08680848777294159,-0.6611953377723694,-0.27222082018852234,-0.16233259439468384,-0.9237757325172424,-0.3724103569984436,-0.25172173976898193,-1.1541558504104614,-0.37421685457229614,-0.33983471989631653,-0.6143010258674622,-0.7971858978271484,-0.08807080239057541,-0.8682855367660522,-1.0299981832504272,-0.215224489569664,-1.0316094160079956,-1.182934045791626,-0.30893948674201965,-1.1514955759048462,-1.326224684715271,-0.3908448815345764,-0.41659119725227356,-0.8993798494338989,-0.13254278898239136,-0.7175514698028564,-0.6884638071060181,-0.2992021143436432,-0.6304628252983093,-0.4259216785430908,-0.34749510884284973,-0.4954361319541931,-0.3610953092575073,-0.3617168366909027,-0.1947932243347168,-0.8760029077529907,-0.19288292527198792,-0.4851924479007721,-0.6132397055625916,-0.32115504145622253,-0.39583641290664673,-0.3966350853443146,-0.27547502517700195,-0.27608439326286316,-0.37798604369163513,-0.2370157688856125,0.022228995338082314,-0.7868745923042297,-0.2719167470932007,-0.21194273233413696,-0.5672551393508911,-0.364437073469162,-0.1729486733675003,-0.39809638261795044,-0.33684632182121277,-0.0732426643371582,-0.382999986410141,-0.3037766218185425,Left,0.9963311553001404,245.76341,1
20260118_163218_000001,20260118_163218,2026-01-18T16:32:41.084201,triangle,0.0,0.0,0.0,0.33458438515663147,0.05572953075170517,-0.11281836777925491,0.7488645911216736,-0.06650745123624802,-0.18929293751716614,1.0339781045913696,-0.20161819458007812,-0.26650527119636536,1.2997748851776123,-0.27290260791778564,-0.33932775259017944,0.7937913537025452,-0.6127777099609375,-0.18923890590667725,1.0783028602600098,-0.8659601211547852,-0.34820064902305603,1.2899540662765503,-1.0246659517288208,-0.4447559714317322,1.452939510345459,-1.1863042116165161,-0.5149528980255127,0.6281644105911255,-0.74367755651474,-0.2288079708814621,0.9138505458831787,-0.6118324398994446,-0.4255277216434479,0.8073387145996094,-0.3173134922981262,-0.45322927832603455,0.675594687461853,-0.2162986844778061,-0.44599050283432007,0.400689959526062,-0.7772780656814575,-0.28179359436035156,0.6726655960083008,-0.5440482497215271,-0.4978788495063782,0.5371894240379333,-0.28274044394493103,-0.43827375769615173,0.4048396348953247,-0.2354615032672882,-0.3606848120689392,0.15209399163722992,-0.7450016736984253,-0.34319302439689636,0.38093069195747375,-0.5241720676422119,-0.4983610510826111,0.31717169284820557,-0.3277866542339325,-0.4509229362010956,0.2155701369047165,-0.30562424659729004,-0.39051011204719543,Right,0.9994443655014038,204.87253,1,0.0,0.0,0.0,-0.35435086488723755,-0.05404677987098694,-0.09683680534362793,-0.6980825662612915,-0.2368665635585785,-0.18142154812812805,-0.9786669015884399,-0.3426690399646759,-0.27180376648902893,-1.22193443775177,-0.35018688440322876,-0.3556612730026245,-0.6820414662361145,-0.7319468259811401,-0.13177290558815002,-0.9139941334724426,-0.9670584797859192,-0.2860354483127594,-1.077390193939209,-1.109519362449646,-0.3885854184627533,-1.222166895866394,-1.2643765211105347,-0.4731905162334442,-0.48689982295036316,-0.8585762977600098,-0.16054688394069672,-0.7591372132301331,-0.6780120730400085,-0.30918294191360474,-0.6355977654457092,-0.40362390875816345,-0.32079067826271057,-0.5021016597747803,-0.3965508043766022,-0.3191485106945038,-0.26028111577033997,-0.8708551526069641,-0.20783688127994537,-0.5197350382804871,-0.6210842132568359,-0.3158853054046631,-0.41662609577178955,-0.38686832785606384,-0.2331429123878479,-0.3079988360404968,-0.40255942940711975,-0.18040916323661804,-0.03339513763785362,-0.8163542151451111,-0.2761652171611786,-0.2550658583641052,-0.5930601954460144,-0.3541046977043152,-0.20876218378543854,-0.41735905408859253,-0.3074277341365814,-0.11403094977140427,-0.42425215244293213,-0.26596856117248535,Left,0.9979779720306396,228.37599,1
20260118_163218_000002,20260118_163218,2026-01-18T16:32:41.217816,triangle,0.0,0.0,0.0,0.41335630416870117,0.1395494043827057,-0.05719231441617012,0.8147567510604858,-0.0009361954871565104,-0.19689694046974182,1.1217398643493652,-0.14459232985973358,-0.3657125234603882,1.4454766511917114,-0.2231551557779312,-0.5399196743965149,0.8001571297645569,-0.5924367904663086,-0.20614264905452728,1.118108868598938,-0.802864670753479,-0.45865398645401,1.3732130527496338,-0.9895564317703247,-0.6097092628479004,1.5295032262802124,-1.1641876697540283,-0.7090824246406555,0.6021425127983093,-0.7276567220687866,-0.32854247093200684,0.974533200263977,-0.5123831629753113,-0.625045895576477,0.805513322353363,-0.21943803131580353,-0.6416161060333252,0.628970205783844,-0.1572086066007614,-0.5995681881904602,0.38198181986808777,-0.7574270367622375,-0.47186538577079773,0.7091054320335388,-0.4810190796852112,-0.7656837701797485,0.5286294221878052,-0.20966289937496185,-0.6665026545524597,0.38754338026046753,-0.19933630526065826,-0.5475979447364807,0.17271803319454193,-0.7456216216087341,-0.6212713122367859,0.4390881657600403,-0.4592984914779663,-0.8220292925834656,0.3226308524608612,-0.2501930594444275,-0.7506428956985474,0.20603761076927185,-0.24138085544109344,-0.668071448802948,Right,0.9970991015434265,193.07465,1,0.0,0.0,0.0,-0.3263686001300812,-0.0005853442125953734,-0.11621925979852676,-0.6850789785385132,-0.1651475727558136,-0.20052924752235413,-0.9502761363983154,-0.30300793051719666,-0.2817635238170624,-1.1650595664978027,-0.3649257719516754,-0.3438493013381958,-0.7201088666915894,-0.6982619762420654,-0.14449165761470795,-0.9963496327400208,-0.9129656553268433,-0.34543660283088684,-1.18149995803833,-1.0581960678100586,-0.46378353238105774,-1.3393577337265015,-1.2117711305618286,-0.5447092056274414,-0.5360383987426758,-0.8299917578697205,-0.15419653058052063,-0.8008413910865784,-0.6780906319618225,-0.31274232268333435,-0.6538835167884827,-0.38985294103622437,-0.2942044734954834,-0.5262225270271301,-0.40669476985931396,-0.25830546021461487,-0.3113693594932556,-0.8690668940544128,-0.19226545095443726,-0.5540145635604858,-0.6025343537330627,-0.3327595889568329,-0.40095776319503784,-0.3629356026649475,-0.24153432250022888,-0.27404311299324036,-0.4147716164588928,-0.16506321728229523,-0.07685206830501556,-0.8551580905914307,-0.25032463669776917,-0.2975320518016815,-0.616642415523529,-0.35579708218574524,-0.20901121199131012,-0.4310723841190338,-0.30935972929000854,-0.09470342099666595,-0.4612957835197449,-0.25477543473243713,Left,0.9962964653968811,222.51698,1
20260118_163218_000003,20260118_163218,2026-01-18T16:32:41.350159,triangle,0.0,0.0,0.0,0.3273656964302063,0.10806982219219208,-0.13280929625034332,0.7533220648765564,-0.023935280740261078,-0.24691124260425568,1.0505614280700684,-0.17428025603294373,-0.3614961504936218,1.3499442338943481,-0.23009465634822845,-0.4725097715854645,0.7785305380821228,-0.6111828088760376,-0.21423041820526123,1.0487083196640015,-0.8230116367340088,-0.4069504737854004,1.2775624990463257,-0.9906648993492126,-0.5178098678588867,1.430180549621582,-1.1545161008834839,-0.5940651893615723,0.5916317701339722,-0.7629582285881042,-0.26051223278045654,0.9295210838317871,-0.5565972924232483,-0.48987993597984314,0.7776967287063599,-0.2501473128795624,-0.5069574117660522,0.6258760094642639,-0.1934853047132492,-0.4772789180278778,0.3682275414466858,-0.8021334409713745,-0.3273179531097412,0.6683292388916016,-0.5117033123970032,-0.5761051774024963,0.4958970546722412,-0.2323303073644638,-0.5077733993530273,0.35810068249702454,-0.23664753139019012,-0.4148373305797577,0.13715919852256775,-0.7814728021621704,-0.4041321873664856,0.3919735252857208,-0.501994252204895,-0.5845481157302856,0.2960548996925354,-0.2946704924106598,-0.5367289185523987,0.1804698407649994,-0.3140048682689667,-0.47103697061538696,Right,0.9994849562644958,199.4323,1,0.0,0.0,0.0,-0.3512157201766968,-0.025426341220736504,-0.10823428630828857,-0.6954982280731201,-0.1903388351202011,-0.19431310892105103,-0.9686428308486938,-0.3119843006134033,-0.27978751063346863,-1.1896934509277344,-0.36154741048812866,-0.3482762575149536,-0.7162033319473267,-0.6957238912582397,-0.13495147228240967,-0.9932073354721069,-0.9033100008964539,-0.31350237131118774,-1.1754440069198608,-1.0400570631027222,-0.42092666029930115,-1.3317173719406128,-1.190155267715454,-0.49810662865638733,-0.5417850613594055,-0.8273297548294067,-0.14830492436885834,-0.8176188468933105,-0.6840977072715759,-0.29525628685951233,-0.673694908618927,-0.4036076068878174,-0.2832920551300049,-0.540410578250885,-0.4049437940120697,-0.2554807960987091,-0.3267877399921417,-0.8639851212501526,-0.18575623631477356,-0.584426760673523,-0.6119856834411621,-0.306511253118515,-0.44427934288978577,-0.37506261467933655,-0.219940185546875,-0.3208627998828888,-0.4147982895374298,-0.15193013846874237,-0.10992613434791565,-0.8493390679359436,-0.24327971041202545,-0.3335738778114319,-0.6246126294136047,-0.33302178978919983,-0.25543639063835144,-0.4443175494670868,-0.2886807918548584,-0.14550672471523285,-0.4707268178462982,-0.24026191234588623,Left,0.9944042563438416,225.31166,1
20260118_163218_000004,20260118_163218,2026-01-18T16:32:41.482667,triangle,0.0,0.0,0.0,0.4584248960018158,0.12598904967308044,-0.01618935726583004,0.8382095098495483,-0.0021312760654836893,-0.1349199265241623,1.1218234300613403,-0.13104504346847534,-0.2923702299594879,1.435994267463684,-0.17937417328357697,-0.45214608311653137,0.8477930426597595,-0.5737330913543701,-0.11126639693975449,1.1537880897521973,-0.7653400897979736,-0.3381158709526062,1.3939247131347656,-0.930367648601532,-0.48068946599960327,1.5562150478363037,-1.1015305519104004,-0.5797611474990845,0.6545470952987671,-0.7112187743186951,-0.2563902735710144,1.01288640499115,-0.484357088804245,-0.5226062536239624,0.8262928128242493,-0.18734076619148254,-0.5456624031066895,0.6663244962692261,-0.1537226140499115,-0.5149103999137878,0.4323671758174896,-0.7531537413597107,-0.42300841212272644,0.7437182068824768,-0.4736839830875397,-0.6975477933883667,0.5405762791633606,-0.19386135041713715,-0.5985699892044067,0.4156315326690674,-0.22660177946090698,-0.4851403832435608,0.2162032574415207,-0.7565890550613403,-0.593471348285675,0.4683609902858734,-0.4654455780982971,-0.7815390229225159,0.3523308038711548,-0.2554697096347809,-0.7048152089118958,0.2447015792131424,-0.29697805643081665,-0.6214072108268738,Right,0.9956556558609009,196.92815,1,0.0,0.0,0.0,-0.35825005173683167,-0.024302056059241295,-0.09349357336759567,-0.7075456380844116,-0.19105076789855957,-0.18239104747772217,-0.9790202975273132,-0.32072606682777405,-0.2781531512737274,-1.2137057781219482,-0.37005680799484253,-0.3580726385116577,-0.7290000915527344,-0.6939443349838257,-0.121456578373909,-1.0049103498458862,-0.9044796228408813,-0.3103688061237335,-1.174883246421814,-1.0519198179244995,-0.41884666681289673,-1.3279374837875366,-1.2206228971481323,-0.4986254870891571,-0.5490750074386597,-0.8217979669570923,-0.15219943225383759,-0.8209593892097473,-0.6941995024681091,-0.3137197196483612,-0.6585642099380493,-0.4018429219722748,-0.2974260449409485,-0.5226300954818726,-0.42741358280181885,-0.26335689425468445,-0.3363795876502991,-0.8604106307029724,-0.20858626067638397,-0.5896841287612915,-0.6152814030647278,-0.3479292392730713,-0.43442222476005554,-0.363618940114975,-0.2531411647796631,-0.31262049078941345,-0.416949987411499,-0.1776149868965149,-0.1244988813996315,-0.849411129951477,-0.283976286649704,-0.34425655007362366,-0.6153251528739929,-0.38881611824035645,-0.25520914793014526,-0.43063098192214966,-0.34524914622306824,-0.14323566854000092,-0.47447261214256287,-0.2968665659427643,Left,0.99323570728302,225.95663,1
20260118_163218_000005,20260118_163218,2026-01-18T16:32:41.614854,triangle,0.0,0.0,0.0,0.3965689241886139,0.1423645317554474,-0.08575931191444397,0.7922561764717102,0.02248232066631317,-0.21978724002838135,1.0733336210250854,-0.11070246994495392,-0.37518560886383057,1.3866286277770996,-0.15587429702281952,-0.5320830345153809,0.8504317402839661,-0.5417605638504028,-0.17963680624961853,1.1619893312454224,-0.7463584542274475,-0.4261048138141632,1.411872386932373,-0.9217520356178284,-0.5806316137313843,1.5805755853652954,-1.0905808210372925,-0.6825569272041321,0.6601695418357849,-0.6973006129264832,-0.27919191122055054,0.98805171251297,-0.5043341517448425,-0.5619702339172363,0.816933810710907,-0.209906667470932,-0.5957160592079163,0.6670128107070923,-0.16645470261573792,-0.5676043033599854,0.4292694926261902,-0.7518428564071655,-0.40343016386032104,0.7167201042175293,-0.4983430802822113,-0.701705813407898,0.5221540927886963,-0.20787513256072998,-0.6227081418037415,0.3978716731071472,-0.22795207798480988,-0.5134986042976379,0.19631308317184448,-0.7776585221290588,-0.5341665148735046,0.43763601779937744,-0.4942542016506195,-0.7450528144836426,0.32106584310531616,-0.2718498408794403,-0.6825113892555237,0.21404297649860382,-0.29916709661483765,-0.6013296246528625,Right,0.9987785816192627,190.44777,1,0.0,0.0,0.0,-0.33714160323143005,-0.012018879875540733,-0.13632318377494812,-0.692526638507843,-0.16754324734210968,-0.2400253713130951,-0.9894323945045471,-0.2995710074901581,-0.33675000071525574,-1.2089989185333252,-0.36788254976272583,-0.4123903214931488,-0.6953551173210144,-0.7127712368965149,-0.18006178736686707,-0.9790830612182617,-0.9263381361961365,-0.40602317452430725,-1.162055492401123,-1.074417233467102,-0.5365981459617615,-1.3108899593353271,-1.2346433401107788,-0.6162992119789124,-0.501756489276886,-0.8474040031433105,-0.17362889647483826,-0.7803019285202026,-0.6956217288970947,-0.3345661461353302,-0.634090006351471,-0.3849957287311554,-0.30297186970710754,-0.49926692247390747,-0.3856527507305145,-0.2508242130279541,-0.27401846647262573,-0.8809753060340881,-0.19773033261299133,-0.5379318594932556,-0.6100168228149414,-0.35218676924705505,-0.3837103247642517,-0.34452810883522034,-0.26528358459472656,-0.24421066045761108,-0.38300269842147827,-0.1806742399930954,-0.03778167441487312,-0.8657775521278381,-0.24033930897712708,-0.27532246708869934,-0.632687509059906,-0.3541516363620758,-0.19471901655197144,-0.43016234040260315,-0.3068113625049591,-0.07654670625925064,-0.44449448585510254,-0.24294635653495789,Left,0.9971252083778381,213.38904,1
20260118_163218_000006,20260118_163218,2026-01-18T16:32:41.751288,triangle,0.0,0.0,0.0,0.3265216648578644,0.09878916293382645,-0.12798532843589783,0.7538237571716309,0.014133639633655548,-0.21626590192317963,1.052886724472046,-0.09933942556381226,-0.30480846762657166,1.3296669721603394,-0.10035451501607895,-0.3863780200481415,0.8540576100349426,-0.5244603157043457,-0.16369900107383728,1.1500216722488403,-0.7057246565818787,-0.32561051845550537,1.3667278289794922,-0.8401358127593994,-0.4276919364929199,1.5341355800628662,-0.9904553294181824,-0.5036811828613281,0.6994869112968445,-0.6873731017112732,-0.19554080069065094,0.9784002900123596,-0.5087222456932068,-0.4023011326789856,0.801946759223938,-0.23793041706085205,-0.4376695454120636,0.6547750234603882,-0.20586493611335754,-0.428371399641037,0.4873766303062439,-0.7613431811332703,-0.24546745419502258,0.7403764128684998,-0.5073511004447937,-0.47354835271835327,0.5495997667312622,-0.2513630986213684,-0.41870248317718506,0.4138055145740509,-0.26476290822029114,-0.3379165530204773,0.24434193968772888,-0.7927824258804321,-0.3054206967353821,0.45469149947166443,-0.5393006801605225,-0.4763078987598419,0.35643094778060913,-0.3299131989479065,-0.4379843473434448,0.25021591782569885,-0.3455575108528137,-0.3790820240974426,Right,0.9992773532867432,201.48723,1,0.0,0.0,0.0,-0.38060659170150757,-0.05116143450140953,-0.08969952911138535,-0.74533611536026,-0.21621185541152954,-0.1819857507944107,-1.021572232246399,-0.3122943639755249,-0.283027708530426,-1.2495391368865967,-0.33064591884613037,-0.37552228569984436,-0.7113410830497742,-0.711127519607544,-0.1314450353384018,-0.9936739206314087,-0.9118080735206604,-0.2880180776119232,-1.1649192571640015,-1.0581135749816895,-0.38160401582717896,-1.3130502700805664,-1.2172722816467285,-0.4583370089530945,-0.5136212110519409,-0.8410312533378601,-0.16988104581832886,-0.7602238059043884,-0.6948475241661072,-0.33183857798576355,-0.6145968437194824,-0.4147837460041046,-0.3370102345943451,-0.4724169373512268,-0.40715715289115906,-0.3210599422454834,-0.29371774196624756,-0.8746615648269653,-0.2275615632534027,-0.5316256880760193,-0.6151615381240845,-0.35520195960998535,-0.40054982900619507,-0.38075515627861023,-0.2828013598918915,-0.2758046090602875,-0.4175684452056885,-0.228107288479805,-0.07429865002632141,-0.8572819232940674,-0.30337926745414734,-0.2865944802761078,-0.6292686462402344,-0.39175936579704285,-0.22262103855609894,-0.4480680227279663,-0.3515854477882385,-0.12128835171461105,-0.4778077006340027,-0.31141039729118347,Left,0.991026759147644,225.78735,1
20260118_163218_000007,20260118_163218,2026-01-18T16:32:41.883354,triangle,0.0,0.0,0.0,0.5122430324554443,0.21667584776878357,0.0013796169077977538,0.9039106965065002,0.16096465289592743,-0.11568176001310349,1.2066705226898193,0.07598333060741425,-0.2867317795753479,1.5387431383132935,0.06212189048528671,-0.4626814126968384,0.9893730282783508,-0.41073793172836304,-0.003199581289663911,1.3221979141235352,-0.6098264455795288,-0.19537505507469177,1.5831021070480347,-0.7607274055480957,-0.3278137147426605,1.7667813301086426,-0.9199783205986023,-0.42296120524406433,0.8109623789787292,-0.563785195350647,-0.1564810425043106,1.1385520696640015,-0.41289740800857544,-0.392500638961792,0.9483741521835327,-0.1451498568058014,-0.4377889335155487,0.7853190898895264,-0.09665589779615402,-0.4238582253456116,0.5861324667930603,-0.6379470229148865,-0.3337642550468445,0.886509120464325,-0.42840316891670227,-0.5764424800872803,0.6691455245018005,-0.16713356971740723,-0.5066627860069275,0.5470735430717468,-0.1925755888223648,-0.41519859433174133,0.3801422119140625,-0.6918474435806274,-0.5146908760070801,0.6049785614013672,-0.44397082924842834,-0.6760691404342651,0.48740673065185547,-0.2554665803909302,-0.6133658289909363,0.39451897144317627,-0.29941651225090027,-0.5436336994171143,Right,0.9888243079185486,188.32191,1,0.0,0.0,0.0,-0.3834519684314728,-0.03908468782901764,-0.12263375520706177,-0.7480745911598206,-0.19327890872955322,-0.2300720363855362,-1.0478280782699585,-0.2955857813358307,-0.33764299750328064,-1.2859165668487549,-0.3443598747253418,-0.4333592653274536,-0.6942510008811951,-0.7190963625907898,-0.16069011390209198,-0.9756417870521545,-0.9270886182785034,-0.33288025856018066,-1.1535470485687256,-1.074460506439209,-0.43687158823013306,-1.3038827180862427,-1.2422778606414795,-0.5147351026535034,-0.5025823712348938,-0.847258448600769,-0.17194199562072754,-0.7720372676849365,-0.7131259441375732,-0.3293173611164093,-0.6148062348365784,-0.43107715249061584,-0.3318369388580322,-0.4614267349243164,-0.4283272922039032,-0.3139071464538574,-0.2843228578567505,-0.8864120244979858,-0.2045348435640335,-0.5497117638587952,-0.6372773051261902,-0.33161622285842896,-0.4058806598186493,-0.38485655188560486,-0.2658126652240753,-0.27070310711860657,-0.41755154728889465,-0.21277984976768494,-0.0710475742816925,-0.875069260597229,-0.25670963525772095,-0.3157026469707489,-0.669955849647522,-0.3466494083404541,-0.2379913479089737,-0.47286972403526306,-0.3068599998950958,-0.11766891181468964,-0.48595714569091797,-0.2622087895870209,Left,0.9931367039680481,222.37917,1
20260118_163218_000008,20260118_163218,2026-01-18T16:32:42.015249,triangle,0.0,0.0,0.0,0.3887085020542145,0.11941837519407272,-0.1026483103632927,0.7977926731109619,0.06129603087902069,-0.18261313438415527,1.0957860946655273,-0.01195300929248333,-0.2710549235343933,1.3575466871261597,-0.06419815868139267,-0.35101601481437683,0.886272132396698,-0.5078856945037842,-0.10102365165948868,1.1789562702178955,-0.7150452136993408,-0.25416117906570435,1.3926504850387573,-0.8600097298622131,-0.3601148724555969,1.5519582033157349,-1.017795443534851,-0.43874818086624146,0.7338612675666809,-0.6627253293991089,-0.14914019405841827,1.0226110219955444,-0.49766650795936584,-0.35519230365753174,0.8431671857833862,-0.23155923187732697,-0.3999076187610626,0.6944952011108398,-0.18863695859909058,-0.3935993015766144,0.5319734811782837,-0.7401765584945679,-0.21681147813796997,0.7915095090866089,-0.4956299960613251,-0.43932750821113586,0.5905279517173767,-0.2485741823911667,-0.37962502241134644,0.45093947649002075,-0.2655561864376068,-0.2936800718307495,0.3043247163295746,-0.7809337377548218,-0.29446348547935486,0.5276290774345398,-0.531612753868103,-0.45418983697891235,0.4135481119155884,-0.3382546007633209,-0.40240171551704407,0.3011341989040375,-0.37152227759361267,-0.3334246277809143,Right,0.9986520409584045,202.96101,1,0.0,0.0,0.0,-0.3796275556087494,-0.04164893925189972,-0.11187471449375153,-0.7452447414398193,-0.17839504778385162,-0.21983402967453003,-1.0431746244430542,-0.2527133822441101,-0.3315621614456177,-1.278364658355713,-0.28882884979248047,-0.43269020318984985,-0.6908398270606995,-0.7175724506378174,-0.15263375639915466,-0.9693129658699036,-0.9254350066184998,-0.3180764317512512,-1.1367626190185547,-1.0666004419326782,-0.4203997552394867,-1.278234601020813,-1.2270565032958984,-0.49706926941871643,-0.5030622482299805,-0.8475832343101501,-0.16891147196292877,-0.7595463991165161,-0.6843803524971008,-0.3136128783226013,-0.6026592254638672,-0.4147961735725403,-0.31877800822257996,-0.45042356848716736,-0.430376797914505,-0.30933183431625366,-0.28613877296447754,-0.8838329911231995,-0.20482102036476135,-0.5400950312614441,-0.6213717460632324,-0.31764674186706543,-0.39754632115364075,-0.385561466217041,-0.2529330253601074,-0.26655033230781555,-0.4349677860736847,-0.20703530311584473,-0.07618587464094162,-0.8690572381019592,-0.2599460184574127,-0.310081422328949,-0.6590915322303772,-0.3374190926551819,-0.23609806597232819,-0.4721245765686035,-0.2928813397884369,-0.12309010326862335,-0.49426907300949097,-0.248731791973114,Left,0.9926586747169495,225.65485,1
20260118_163218_000009,20260118_163218,2026-01-18T16:32:42.149141,triangle,0.0,0.0,0.0,0.38508135080337524,0.10245408117771149,-0.09397315233945847,0.7972779870033264,0.04610653594136238,-0.1744629591703415,1.0983550548553467,-0.018966132774949074,-0.2653336226940155,1.3571394681930542,-0.09102703630924225,-0.3509565591812134,0.8691482543945312,-0.5271804928779602,-0.10486911982297897,1.1358294486999512,-0.7471868991851807,-0.2532981336116791,1.3473159074783325,-0.8917751312255859,-0.35123568773269653,1.5074344873428345,-1.051870346069336,-0.4226326644420624,0.7216383218765259,-0.6745214462280273,-0.15575261414051056,1.0272657871246338,-0.5201669931411743,-0.34945181012153625,0.8581794500350952,-0.2468641698360443,-0.38504186272621155,0.7132882475852966,-0.20085422694683075,-0.3721931278705597,0.5213573575019836,-0.7429172992706299,-0.22396622598171234,0.7966637015342712,-0.5021158456802368,-0.44252267479896545,0.6055862307548523,-0.2464635819196701,-0.385320782661438,0.4631946086883545,-0.254682719707489,-0.2997247278690338,0.29241371154785156,-0.7709426879882812,-0.29975926876068115,0.5210650563240051,-0.5350320935249329,-0.4604215621948242,0.42265939712524414,-0.32809877395629883,-0.41164132952690125,0.3120461404323578,-0.34251049160957336,-0.34348881244659424,Right,0.9992015361785889,204.09593,1,0.0,0.0,0.0,-0.37706565856933594,-0.0161844901740551,-0.10751085728406906,-0.7634426355361938,-0.15366415679454803,-0.21219632029533386,-1.0758204460144043,-0.24801714718341827,-0.32179877161979675,-1.3219058513641357,-0.2909132242202759,-0.4186672866344452,-0.7382488250732422,-0.6802945733070374,-0.14601604640483856,-1.0041038990020752,-0.9042341113090515,-0.3077962398529053,-1.1730245351791382,-1.0425039529800415,-0.39686137437820435,-1.3243238925933838,-1.201147198677063,-0.464620441198349,-0.5589089393615723,-0.8118182420730591,-0.1690320372581482,-0.8014728426933289,-0.6594289541244507,-0.3268986940383911,-0.6357879042625427,-0.3859787583351135,-0.3239182233810425,-0.49330568313598633,-0.41724151372909546,-0.3032500445842743,-0.3447580635547638,-0.8594882488250732,-0.21223153173923492,-0.5813818573951721,-0.60970139503479,-0.3389478921890259,-0.4304109215736389,-0.37389928102493286,-0.2626575231552124,-0.3087720274925232,-0.43300381302833557,-0.20542466640472412,-0.12945032119750977,-0.8596034646034241,-0.27388373017311096,-0.3575523793697357,-0.6517181396484375,-0.3581998944282532,-0.2748299241065979,-0.46675047278404236,-0.31086400151252747,-0.1642637997865677,-0.5001879334449768,-0.26382172107696533,Left,0.9883726835250854,221.6945,1
